dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
financial_risk,PED,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
financial_risk,PHX,2022Q1,1,0,0,150,0.006666667,0
financial_risk,PR,1999Q4,1,0,0,6,0.166666667,0
financial_risk,PR,2001Q1,1,0,0,22,0.045454545,0
financial_risk,PR,2004Q2,1,0,0,11,0.090909091,0
financial_risk,PR,2004Q3,1,0,0,14,0.071428571,0
financial_risk,PR,2014Q3,2,0,0,39,0.051282051,0
financial_risk,PR,2015Q1,1,0,0,73,0.01369863,0
financial_risk,PR,2017Q1,1,0,0,73,0.01369863,0
financial_risk,PR,2017Q3,1,0,0,112,0.008928571,0
financial_risk,PR,2018Q3,1,0,0,126,0.007936508,0
financial_risk,PR,2019Q1,1,1,1,140,0.007142857,0.007142857
financial_risk,PR,2019Q3,1,1,1,157,0.006369427,0.006369427
financial_risk,PR,2020Q2,1,0,0,190,0.005263158,0
financial_risk,PR,2020Q4,1,0,0,180,0.005555556,0
financial_risk,PR,2021Q1,1,0,0,215,0.004651163,0
financial_risk,PR,2021Q2,1,0,0,193,0.005181347,0
financial_risk,PR,2021Q3,1,0,0,216,0.00462963,0
financial_risk,PR,2024Q1,1,1,1,128,0.0078125,0.0078125
financial_risk,PR,2024Q3,2,0.5,1,163,0.012269939,0.012269939
financial_risk,PR,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
financial_risk,PTEN,2005Q4,1,-2,-2,17,0.058823529,-0.117647059
financial_risk,PUMP,2019Q4,1,-2,-2,172,0.005813953,-0.011627907
financial_risk,PUMP,2021Q1,1,1,1,215,0.004651163,0.004651163
financial_risk,RES,2024Q2,1,1,1,102,0.009803922,0.009803922
financial_risk,RES,2024Q4,2,1,2,146,0.01369863,0.02739726
financial_risk,RIG,2000Q2,1,0,0,10,0.1,0
financial_risk,RIG,2010Q2,1,-1,-1,55,0.018181818,-0.018181818
financial_risk,RIG,2010Q3,2,0.5,1,92,0.02173913,0.02173913
financial_risk,RIG,2012Q3,1,-1,-1,54,0.018518519,-0.018518519
financial_risk,RIG,2012Q4,1,1,1,45,0.022222222,0.022222222
financial_risk,RIG,2013Q1,2,-1,-2,68,0.029411765,-0.058823529
financial_risk,RIG,2015Q1,2,-1.5,-3,73,0.02739726,-0.082191781
financial_risk,RIG,2015Q3,1,-1,-1,95,0.010526316,-0.010526316
financial_risk,RIG,2016Q4,1,1,1,73,0.01369863,0.01369863
financial_risk,RIG,2017Q1,1,-1,-1,73,0.01369863,-0.01369863
financial_risk,RIG,2017Q2,1,-2,-2,98,0.010204082,-0.020408163
financial_risk,RIG,2017Q3,1,-2,-2,112,0.008928571,-0.017857143
financial_risk,RIG,2017Q4,1,1,1,125,0.008,0.008
financial_risk,RIG,2018Q3,1,1,1,126,0.007936508,0.007936508
financial_risk,RIG,2018Q4,2,2,4,143,0.013986014,0.055944056
financial_risk,RIG,2019Q1,1,1,1,140,0.007142857,0.007142857
financial_risk,RIG,2019Q3,1,1,1,157,0.006369427,0.006369427
financial_risk,RIG,2019Q4,1,2,2,172,0.005813953,0.011627907
financial_risk,RIG,2020Q1,1,0,0,213,0.004694836,0
financial_risk,RIG,2020Q4,1,1,1,180,0.005555556,0.005555556
financial_risk,RIG,2021Q3,1,1,1,216,0.00462963,0.00462963
financial_risk,RIG,2022Q4,1,1,1,153,0.006535948,0.006535948
financial_risk,RIG,2024Q3,2,0.5,1,163,0.012269939,0.012269939
financial_risk,RIG,2024Q4,3,0.333333333,1,146,0.020547945,0.020547945
financial_risk,RNGR,2024Q4,3,-1.333333333,-4,146,0.020547945,-0.082191781
financial_risk,SD,2009Q3,1,1,1,27,0.037037037,0.037037037
financial_risk,SD,2016Q1,4,-1.75,-7,88,0.045454545,-0.318181818
financial_risk,SD,2016Q2,2,-1,-2,90,0.022222222,-0.044444444
financial_risk,SD,2016Q3,2,0,0,88,0.022727273,0
financial_risk,SD,2017Q4,3,0.666666667,2,125,0.024,0.048
financial_risk,SD,2018Q1,1,2,2,94,0.010638298,0.021276596
financial_risk,SD,2018Q2,1,-1,-1,130,0.007692308,-0.007692308
financial_risk,SDRL,2024Q3,1,1,1,163,0.006134969,0.006134969
financial_risk,SDRL,2024Q4,2,0.5,1,146,0.01369863,0.01369863
financial_risk,SLB,2000Q2,1,1,1,10,0.1,0.1
financial_risk,SLB,2002Q2,2,-0.5,-1,12,0.166666667,-0.166666667
financial_risk,SLB,2004Q1,1,1,1,19,0.052631579,0.052631579
financial_risk,SLB,2004Q3,2,0,0,14,0.142857143,0
financial_risk,SLB,2011Q2,1,1,1,35,0.028571429,0.028571429
financial_risk,SLB,2011Q3,1,1,1,28,0.035714286,0.035714286
financial_risk,SLB,2012Q2,1,1,1,35,0.028571429,0.028571429
financial_risk,SLB,2013Q2,1,2,2,47,0.021276596,0.042553191
financial_risk,SLB,2013Q3,2,1,2,55,0.036363636,0.072727273
financial_risk,SLB,2014Q1,1,-1,-1,29,0.034482759,-0.034482759
financial_risk,SLB,2014Q2,1,-1,-1,38,0.026315789,-0.026315789
financial_risk,SLB,2015Q3,1,-1,-1,95,0.010526316,-0.010526316
financial_risk,SLB,2016Q1,1,1,1,88,0.011363636,0.011363636
financial_risk,SLB,2017Q2,1,1,1,98,0.010204082,0.010204082
financial_risk,SLB,2017Q3,2,0,0,112,0.017857143,0
financial_risk,SLB,2017Q4,2,0,0,125,0.016,0
financial_risk,SLB,2018Q4,2,-1,-2,143,0.013986014,-0.027972028
financial_risk,SLB,2019Q1,2,0,0,140,0.014285714,0
financial_risk,SLB,2019Q2,2,0,0,154,0.012987013,0
financial_risk,SLB,2019Q3,5,0.6,3,157,0.031847134,0.095541401
financial_risk,SLB,2020Q2,5,-1.2,-6,190,0.026315789,-0.157894737
financial_risk,SLB,2021Q1,1,0,0,215,0.004651163,0
financial_risk,SLB,2021Q2,4,0.5,2,193,0.020725389,0.041450777
financial_risk,SLB,2021Q3,3,0,0,216,0.013888889,0
financial_risk,SLB,2022Q1,3,0.333333333,1,150,0.02,0.02
financial_risk,SLB,2022Q2,5,0,0,131,0.038167939,0
financial_risk,SLB,2022Q3,1,0,0,103,0.009708738,0
financial_risk,SLB,2022Q4,3,0.333333333,1,153,0.019607843,0.019607843
financial_risk,SLB,2023Q1,2,-0.5,-1,151,0.013245033,-0.013245033
