date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2020-01-08,Thomson_Reuters,0,0,1,0,0,1
2020-01-08,Thomson_Reuters,0,0,0,0,0,1
2020-02-17,Thomson_Reuters,0,0,0,0,0,1
2012-01-31,Thomson_Reuters,1,0,0,0,0,1
2017-09-20,Thomson_Reuters,0,0,0,0,0,1
2019-07-29,Thomson_Reuters,0,0,0,0,0,1
2010-09-15,Thomson_Reuters,0,0,0,0,0,1
2010-09-08,Thomson_Reuters,0,0,0,0,0,1
2010-07-08,Thomson_Reuters,0,0,0,0,0,1
2013-12-16,Thomson_Reuters,1,0,0,0,0,1
2015-05-21,Thomson_Reuters,1,0,0,0,0,1
2018-09-04,Thomson_Reuters,1,0,0,0,0,1
2017-02-28,Thomson_Reuters,0,0,0,0,0,1
2012-01-27,Thomson_Reuters,2,0,0,0,0,1
2010-04-30,Thomson_Reuters,1,0,0,0,0,1
2012-01-27,Thomson_Reuters,0,1,1,0,0,1
2010-04-29,Thomson_Reuters,0,0,2,0,0,1
2013-11-11,Thomson_Reuters,1,0,0,0,0,1
2017-11-01,Thomson_Reuters,0,0,0,0,0,1
2019-01-03,Thomson_Reuters,0,0,0,0,0,1
2013-01-14,Thomson_Reuters,1,0,0,0,0,1
2013-11-11,Thomson_Reuters,1,0,0,0,0,1
2017-03-20,Thomson_Reuters,0,0,0,0,0,1
2010-09-08,Thomson_Reuters,0,0,0,0,0,1
2012-01-27,Thomson_Reuters,1,0,0,0,0,1
