date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2020-06-12,The_Wall_Street_Journal,0,0,1,0,0,2,0.62467307,0.14239262,0.0,0.23250632,0.0,0,natural_factor
2020-04-07,The_Wall_Street_Journal,2,0,1,0,0,1,0.021378294,0.0,0.085001916,0.893091,0.0,3,supply_side
2000-03-21,The_Wall_Street_Journal,0,0,0,0,0,1,0.5032796,0.0,0.45006785,0.0,0.037524447,0,natural_factor
2003-11-21,The_Wall_Street_Journal,0,0,0,0,0,1,0.21584941,0.0,0.4471712,0.32449538,0.012370047,2,natural_factor
2015-03-06,The_Wall_Street_Journal,1,0,1,0,0,1,0.0,0.0,0.22760929,0.7712252,0.0,3,supply_side
2000-12-08,The_Wall_Street_Journal,0,0,0,0,0,1,0.15745486,0.0,0.7856784,0.0,0.055513676,2,natural_factor
2001-04-24,The_Wall_Street_Journal,0,0,0,0,0,1,0.41455963,0.0,0.4328682,0.1294548,0.023012042,2,natural_factor
2000-12-29,The_Wall_Street_Journal,0,0,0,0,0,1,0.09314289,0.0,0.8736264,0.0,0.031921435,2,natural_factor
2018-12-04,The_Wall_Street_Journal,2,1,0,0,0,1,0.2837947,0.0,0.0468043,0.6691639,0.0,3,supply_side
2001-04-19,The_Wall_Street_Journal,0,0,0,0,0,1,0.3770324,0.019953247,0.5363771,0.0,0.06616653,2,natural_factor
1999-10-01,The_Wall_Street_Journal,0,0,0,0,0,1,0.0,0.0,0.86185354,0.13701713,0.0,2,natural_factor
2019-01-31,The_Wall_Street_Journal,0,0,0,1,0,1,0.13042574,0.0,0.16218923,0.69143456,0.015893191,3,geopolitical_risk
2001-07-11,The_Wall_Street_Journal,0,0,0,0,0,1,0.08397408,0.0,0.7449358,0.0,0.17039397,2,natural_factor
2000-12-19,The_Wall_Street_Journal,0,0,0,0,0,1,0.067862965,0.0,0.7830547,0.0,0.14768665,2,natural_factor
2014-10-09,The_Wall_Street_Journal,5,2,1,0,0,1,0.097378865,0.0,0.0,0.9020697,0.0,3,supply_side
2001-05-03,The_Wall_Street_Journal,0,0,0,1,0,1,0.0,0.0,0.84075457,0.09804961,0.060854632,2,geopolitical_risk
2014-07-13,The_Wall_Street_Journal,1,0,0,0,0,1,0.0,0.0,0.06029492,0.9381896,0.0,3,supply_side
2001-02-23,The_Wall_Street_Journal,3,0,0,1,0,2,0.0,0.0,0.70659435,0.2463532,0.046771783,2,supply_side
2004-03-07,The_Wall_Street_Journal,0,0,1,0,0,1,0.20721853,0.0,0.0,0.79202026,0.0,3,financial_risk
2004-03-10,The_Wall_Street_Journal,0,0,1,0,0,1,0.08522281,0.03734905,0.085557334,0.7915685,0.0,3,financial_risk
